"officialFeatureId";"id";"lavNumber";"name";"type";"result";"tier";"distanceM";"nameScore";"candidateCount";"gapM";"featureUseCount";"groupMargin";"reason"
"StandingWater_DESTGEOT00005QOb";"8-250-16-hufeisenteich-jessen-grabo";"8-250-16";"Hufeisenteich Jessen/Grabo";"Teich";"review";"v112-review";"161.4";"0.000";"12";"98.3";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00005VgI";"8-253-01-das-loch-annaburg";"8-253-01";"Das Loch Annaburg";"See";"review";"v112-review";"28.4";"0.000";"4";"384.6";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT000018gO";"8-253-04-gewasser-meiner-lehrmann";"8-253-04";"Gewässer Meißner, Lehrmann";"See";"review";"v112-review";"878.8";"0.000";"1";"9999.0";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT0000c7hL";"8-360-01-wasserloch-klieken";"8-360-01";"Wasserloch Klieken";"See";"review";"v112-review";"5.6";"0.000";"5";"85.3";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00005yyq";"8-360-09-tongrube-mollensdorf";"8-360-09";"Tongrube Möllensdorf";"Kiesgrube";"review";"v112-review";"137.4";"0.000";"6";"16.6";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00005Fgl";"8-460-11-booser-ri-im-ot-boos-dabrun";"8-460-11";"Booser Riß im OT Boos/Dabrun";"See";"review";"v112-review";"195.6";"0.379";"4";"257.2";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00000aYf";"8-460-12-3-waldteiche-bei-reinsdorf";"8-460-12";"3 Waldteiche bei Reinsdorf";"Teich";"review";"v112-conflict-review";"182.7";"0.000";"1";"9999.0";"2";"0.000";"Amtliches Feature wird von 2 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOT00000aYf";"8-460-13-groer-aca-teich-bei-reinsdorf";"8-460-13";"Großer (ACA) Teich bei Reinsdorf";"Teich";"review";"v112-conflict-review";"182.7";"0.000";"1";"9999.0";"2";"0.000";"Amtliches Feature wird von 2 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOT00005O9k";"8-460-35-3-weinbergeiche-abtsdorf";"8-460-35";"3 Weinbergeiche Abtsdorf";"See";"review";"v112-review";"612.0";"0.000";"6";"50.1";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00005xeT";"8-460-39-kolk-seegrehna";"8-460-39";"Kolk Seegrehna";"See";"review";"v112-conflict-review";"600.8";"0.000";"2";"318.8";"2";"0.000";"Amtliches Feature wird von 2 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOT00005xeT";"8-460-76-wolfskolk-seegrehna";"8-460-76";"Wolfskolk Seegrehna";"See";"review";"v112-conflict-review";"600.8";"0.000";"2";"318.8";"2";"0.000";"Amtliches Feature wird von 2 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOT00005O9h";"8-460-47-tonteich-bulzig";"8-460-47";"Tonteich Bülzig";"Teich";"review";"v112-review";"113.5";"0.000";"10";"88.4";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
