"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"distanceM";"candidateCount";"nameScore";"gapM";"featureUseCount";"reason"
"7-120-18-groer-richard-bei-sandersdorf";"7-120-18";"Großer Richard bei Sandersdorf";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT000050vE";"64.9";"5";"0";"189";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"7-271-02-zuckerteich-bei-osternienburg";"7-271-02";"Zuckerteich bei Osternienburg";"Teich";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00004LY1";"63.6";"6";"0";"171.2";"3";"Dasselbe amtliche Feature wird von 3 neuen Reviews beansprucht; keine automatische Freigabe."
"7-272-01-magdalenenteich-in-aken";"7-272-01";"Magdalenenteich in Aken";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT00004NO7";"697.5";"4";"0";"21.4";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"7-273-07-betonwerkteich-3-4-bei-grobzig";"7-273-07";"Betonwerkteich 3 + 4 bei Gröbzig";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOTR1007TuW";"437.5";"6";"0";"98.4";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"7-273-12-sportplatzteich-in-gorzig";"7-273-12";"Sportplatzteich in Görzig";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT00002SlJ";"128.9";"4";"0";"341.3";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"7-275-01-grubenteich-bei-osternienburg";"7-275-01";"Grubenteich bei Osternienburg";"Kiesgrube";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00004LY1";"63.6";"6";"0";"171.2";"3";"Dasselbe amtliche Feature wird von 3 neuen Reviews beansprucht; keine automatische Freigabe."
"7-275-02-kleine-sandfurchen-bei-osternienburg";"7-275-02";"Kleine Sandfürchen bei Osternienburg";"See";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00004LY1";"63.6";"6";"0";"171.2";"3";"Dasselbe amtliche Feature wird von 3 neuen Reviews beansprucht; keine automatische Freigabe."
"7-275-06-baggerteich-bei-trebbichau-aken";"7-275-06";"Baggerteich bei Trebbichau/Aken";"Teich";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00004NNg";"232.8";"8";"0";"10.1";"2";"Dasselbe amtliche Feature wird von 2 neuen Reviews beansprucht; keine automatische Freigabe."
"7-276-02-schulteich-bei-trebbichau-aken";"7-276-02";"Schulteich bei Trebbichau/Aken";"Teich";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00004NNg";"232.8";"8";"0";"10.1";"2";"Dasselbe amtliche Feature wird von 2 neuen Reviews beansprucht; keine automatische Freigabe."
"7-276-05-teich-am-kulturzentrum-grobadegast";"7-276-05";"Teich am Kulturzentrum Großbadegast";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT00004LXp";"15.3";"4";"0";"192.3";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"7-400-01-alte-elbe-bei-dornburg";"7-400-01";"Alte Elbe bei Dornburg";"Fließgewässer";"review";"v102-flow-review";"Watercourse_DESTGEOT00002ZIC_lin";"256.5";"16";"0";"6.7";"1";"Fließgewässer bleibt ohne starkes Namenssignal im Review."
"7-490-07-ziegeleiteich-bei-niederlepte";"7-490-07";"Ziegeleiteich bei Niederlepte";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT00004PHr";"207.9";"2";"0";"452.9";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"7-490-08-unterer-muhlenteich-bei-dobritz";"7-490-08";"Unterer Mühlenteich bei Dobritz";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT00005brT";"151.6";"1";"0";"9999";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"7-491-03-pfaffensee-bei-steckby";"7-491-03";"Pfaffensee bei Steckby";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00004PHo";"307.1";"4";"0.455";"208";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"8-181-02-tiefer-kolk-in-selbitz";"8-181-02";"Tiefer Kolk in Selbitz";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00005xfo";"290.9";"1";"0";"9999";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"8-181-06-jagerteich-bei-sollichau";"8-181-06";"Jägerteich bei Söllichau";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT00005Aua";"105.1";"1";"0";"9999";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"8-181-08-muhlteich-in-tornau";"8-181-08";"Mühlteich in Tornau";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT0000gWZg";"144.9";"1";"0";"9999";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"8-183-09-stammhainigte-bei-worlitz";"8-183-09";"Stammhainigte bei Wörlitz";"See";"review";"v102-standing-review";"StandingWater_DESTGEOTR100gxex";"398.1";"3";"0";"129.1";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"8-183-11-groes-hakenloch-bei-vockerode";"8-183-11";"Großes Hakenloch bei Vockerode";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT0000fPZd";"350.8";"6";"0";"10.9";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
