"id";"lavNumber";"name";"type";"result";"locality";"distanceM";"officialName";"candidateCount";"nameScore";"gapM";"reason"
"4-171-15-pareyer-verbindungskanal";"4-171-15";"Pareyer Verbindungskanal";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-172-03-rodorfer-altkanal-von";"4-172-03";"Roßdorfer Altkanal von";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-173-01-bergzower-altkanal-vom-abzweig";"4-173-01";"Bergzower Altkanal vom Abzweig";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-280-01-umflutehle-von-einmundung-der";"4-280-01";"Umflutehle von Einmündung der";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-490-04-dornburger-see";"4-490-04";"Dornburger See";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-491-01-prodeler-see-2-teiche";"4-491-01";"Prödeler See - 2 Teiche";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-491-03-lubser-see";"4-491-03";"Lübser See";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-492-01-pappelteich-bei-hobeck";"4-492-01";"Pappelteich bei Hobeck";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-492-02-groer-teich-bei-dalchau";"4-492-02";"Großer Teich bei Dalchau";"Teich";"review";"Dalchau";"456.8";"";"2";"0.000";"66.7";"Neuer Ortsanker 'Dalchau' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"4-492-05-kiesgrube-loburg";"4-492-05";"Kiesgrube Loburg";"Kiesgrube";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-100-02-ellernteich-in-reinstedt";"5-100-02";"Ellernteich in Reinstedt";"Teich";"review";"Reinstedt";"561.0";"";"5";"0.000";"36.4";"Neuer Ortsanker 'Reinstedt' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"5-101-02-pappelteich-ermsleben";"5-101-02";"Pappelteich Ermsleben";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-101-03-burgteich-ermsleben";"5-101-03";"Burgteich Ermsleben";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-190-02-parkteich-mahndorf";"5-190-02";"Parkteich Mahndorf";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-190-03-bode-vom-einlauf-des-goldbaches";"5-190-03";"Bode vom Einlauf des Goldbaches";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-190-04-halberstadter-see-1-badesee";"5-190-04";"Halberstädter See 1 (Badesee)";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-190-06-groer-graben-vom-zusammenfluss";"5-190-06";"Großer Graben vom Zusammenfluss";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-191-02-muhlenteich-deersheim";"5-191-02";"Mühlenteich Deersheim";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-340-05-kunstteich-in-ballenstedt";"5-340-05";"Kunstteich in Ballenstedt";"Teich";"review";"Ballenstedt";"297.5";"Hirschteich";"5";"0.000";"92.7";"Neuer Ortsanker 'Ballenstedt' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"5-340-07-groer-dachsteich-bei-ballenstedt";"5-340-07";"Großer Dachsteich bei Ballenstedt";"Teich";"review";"Ballenstedt";"297.5";"Hirschteich";"5";"0.000";"92.7";"Neuer Ortsanker 'Ballenstedt' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"5-340-08-kiesgrube-bei-dittfurt";"5-340-08";"Kiesgrube bei Dittfurt";"Kiesgrube";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-340-09-bode-vom-einlauf-des-quarmbaches";"5-340-09";"Bode vom Einlauf des Quarmbaches";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-340-10-groer-siebersteinsteich-bei-ballenstedt-a-b-bl-h-k-4-20-pl-ro-s";"5-340-10";"Großer Siebersteinsteich bei Ballenstedt A, B, Bl, H, K, 4,20 Pl, Ro, S";"Teich";"review";"Ballenstedt A";"297.5";"Hirschteich";"5";"0.000";"92.7";"Neuer Ortsanker 'Ballenstedt A' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
