"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"officialDistanceM";"officialName";"officialCandidateCount";"nameScore";"distanceGapM";"featureUseCount";"reason"
"3-200-37-schafbade-bei-erxleben";"3-200-37";"Schafbade bei Erxleben";"See";"review";"v71-no-official-feature";"";"186.1";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-40-silbersee-bei-calvorde";"3-200-40";"Silbersee bei Calvörde";"See";"review";"v71-no-official-feature";"";"697.5";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-45-beber-von-einmundung-der-rie";"3-200-45";"Beber von Einmündung der Rie";"See";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-46-wanneweh-von-einmundung-des";"3-200-46";"Wanneweh von Einmündung des";"See";"review";"v71-no-official-feature";"";"42.2";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-47-markgrafenteich-bei-bebertal";"3-200-47";"Markgrafenteich bei Bebertal";"Teich";"review";"v71-no-official-feature";"";"426.6";"";"2";"0.000";"46.8";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-48-papenteich-bei-emden";"3-200-48";"Papenteich bei Emden";"Teich";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-52-regenruckhaltebecken-in-hermsdorf";"3-200-52";"Regenrückhaltebecken in Hermsdorf";"See";"review";"v71-no-official-feature";"";"556.9";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-130-34-flickschuhteich-burg";"4-130-34";"Flickschuhteich Burg";"Teich";"review";"v71-no-official-feature";"";"295.1";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-170-06-kiesgrube-brettiner-chaussee-ein";"4-170-06";"Kiesgrube Brettiner Chaussee Ein-";"Kiesgrube";"review";"v71-no-official-feature";"";"593.9";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-170-13-fiener-hauptvorfluter-vom-wehr";"4-170-13";"Fiener Hauptvorfluter vom Wehr";"See";"review";"v71-no-official-feature";"";"191.2";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"4-170-15-schlagenthiner-stremme-vom-rodorfer-a-b-bl-h-pl-s-7-00-altkanal-bis-zur-hauptstremme";"4-170-15";"Schlagenthiner Stremme vom Roßdorfer A, B, Bl, H, Pl, S 7,00 Altkanal bis zur Hauptstremme";"Fließgewässer";"review";"v71-no-official-feature";"";"6";"";"7";"0.000";"21.8";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
