"id";"lavNumber";"name";"type";"status";"tier";"lat";"lon";"candidateName";"distanceKm";"gap";"nearCount";"veryNearCount";"reason"
"1-260-03-wasserbecken-am-schlammgraben";"1-260-03";"Wasserbecken am Schlammgraben";"Fließgewässer";"review";"flow";"52.5761761";"11.0779017";"";"1.44";"";"";"";"Fließgewässer benötigt Abschnittsprüfung."
"1-260-04-prozebusch-in-dannefeld";"1-260-04";"Prozeßbusch in Dannefeld";"See";"review";"unnamed-review";"52.5076908";"11.1432105";"";"0.23";"0.079";"1";"1";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-260-05-sauergrund-bei-dannefeld";"1-260-05";"Sauergrund bei Dannefeld";"See";"review";"unnamed-review";"52.5076908";"11.1432105";"";"0.23";"0.079";"1";"1";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-260-07-beregnungsteich-bei-lockstedt";"1-260-07";"Beregnungsteich bei Lockstedt";"Teich";"review";"unnamed-review";"52.6657464";"11.1942592";"";"0.63";"0.045";"1";"0";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-260-08-langer-teich-immekath";"1-260-08";"Langer Teich Immekath";"Teich";"review";"unnamed-review";"52.6277652";"11.0816699";"";"0.11";"0.036";"9";"1";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-260-09-neues-gewasser-in-klotze";"1-260-09";"Neues Gewässer in Klötze";"See";"review";"unnamed-review";"52.622978";"11.1655101";"";"0.52";"0.019";"2";"0";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-260-10-teich-am-ehemaligen";"1-260-10";"Teich am ehemaligen";"Teich";"review";"unnamed-review";"52.6657464";"11.1942592";"";"0.63";"0.045";"1";"0";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-260-11-jeetze-von-dorfstrae-im-amt";"1-260-11";"Jeetze von Dorfstraße im Amt";"Fließgewässer";"review";"flow";"52.7859661";"11.1686674";"";"0.45";"";"";"";"Fließgewässer benötigt Abschnittsprüfung."
"1-260-12-alte-badeanstalt-bei-jahrstedt";"1-260-12";"Alte Badeanstalt bei Jahrstedt";"See";"review";"unnamed-review";"52.5633612";"10.9708505";"";"0.44";"0.008";"3";"0";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-260-13-dorfteich-steimke";"1-260-13";"Dorfteich Steimke";"Teich";"review";"unnamed-high";"52.58744";"10.963068";"";"0.24";"0.133";"1";"1";"Sehr plausibler unbenannter Kandidat, aber automatische Schwelle knapp nicht erreicht."
"1-260-14-ohre-in-steimke";"1-260-14";"Ohre in Steimke";"Fließgewässer";"review";"flow";"52.6021446";"10.9490976";"Ohre";"1.96";"";"";"";"Fließgewässer benötigt Abschnittsprüfung."
"1-260-15-ohre-in-jahrstedt";"1-260-15";"Ohre in Jahrstedt";"Fließgewässer";"review";"flow";"52.5557359";"10.9815634";"";"0.67";"";"";"";"Fließgewässer benötigt Abschnittsprüfung."
"1-260-16-ehemalige-klarteiche-in-kusey";"1-260-16";"ehemalige Klärteiche in Kusey";"Teich";"review";"unnamed-review";"52.5802866";"11.1015091";"";"0.41";"0.005";"4";"0";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-260-17-radestucken-neuekrug";"1-260-17";"Radestücken Neuekrug";"See";"review";"unnamed-review";"52.7786135";"10.8198134";"";"1.3";"0.021";"1";"1";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-260-18-dorfteich-dannefeld";"1-260-18";"Dorfteich Dannefeld";"Teich";"review";"unnamed-review";"52.5076908";"11.1432105";"";"0.23";"0.079";"1";"1";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-260-19-groe-rothe-neuferchau";"1-260-19";"Große Röthe Neuferchau";"See";"review";"unnamed-review";"52.5785765";"11.0840948";"";"1.36";"0.01";"0";"0";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-260-20-untere-milde-cheinitz";"1-260-20";"Untere Milde Cheinitz";"Fließgewässer";"review";"flow";"52.6991031";"11.2520614";"";"0.31";"";"";"";"Fließgewässer benötigt Abschnittsprüfung."
"1-260-21-brookbuschteich-immekath";"1-260-21";"Brookbuschteich Immekath";"Teich";"review";"unnamed-review";"52.6277652";"11.0816699";"";"0.11";"0.036";"9";"1";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-260-22-moorgraben-cheinitz-bruchau";"1-260-22";"Moorgraben Cheinitz/Brüchau";"Fließgewässer";"unmatched";"none";"";"";"";"";"";"";"";"Kein v3-Kandidat."
"1-380-01-plattensee-bei-winterfeld";"1-380-01";"Plattensee bei Winterfeld";"See";"review";"unnamed-review";"52.7421551";"11.2416101";"";"0.39";"0.058";"1";"0";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-380-02-pfefferteich-bei-salzwedel";"1-380-02";"Pfefferteich bei Salzwedel";"Teich";"review";"unnamed-review";"52.5298075";"11.3967719";"";"0.42";"0.003";"23";"1";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-380-03-1-tonstich-in-den-beekwiesen";"1-380-03";"1. Tonstich in den Beekwiesen";"See";"review";"unnamed-review";"52.5298075";"11.3967719";"";"0.42";"0.003";"23";"1";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-380-04-brietzer-teiche";"1-380-04";"Brietzer Teiche";"Teich";"unmatched";"none";"";"";"";"";"";"";"";"Kein v3-Kandidat."
"1-380-05-teich-in-langenapel";"1-380-05";"Teich in Langenapel";"Teich";"review";"unnamed-review";"52.8161811";"10.9622902";"";"0.34";"0.002";"4";"1";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
