"id";"lavNumber";"name";"type";"result";"tier";"distanceM";"officialName";"candidateCount";"gapM";"nameScore";"reason"
"10-290-44-teich-in-thalschutz";"10-290-44";"Teich in Thalschütz";"Teich";"review";"v9-standing-review";"917.1";"";"3";"56.7";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (917.1 m; Gap 56.7 m)."
"10-370-02-grundel-teich-bei-teutschenthal";"10-370-02";"Gründel Teich bei Teutschenthal";"Teich";"review";"v9-standing-review";"1568.5";"";"1";"9999.0";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (1568.5 m; Gap 9999.0 m)."
"10-370-05-obere-steinbreite-bei-brachwitz";"10-370-05";"Obere Steinbreite bei Brachwitz";"See";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"10-370-14-pappelgrund-bei-teutschenthal";"10-370-14";"Pappelgrund bei Teutschenthal";"See";"review";"v9-standing-review";"1568.5";"";"1";"9999.0";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (1568.5 m; Gap 9999.0 m)."
"10-370-16-erlengrund-bei-teutschenthal";"10-370-16";"Erlengrund bei Teutschenthal";"See";"review";"v9-standing-review";"1568.5";"";"1";"9999.0";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (1568.5 m; Gap 9999.0 m)."
"10-370-23-2-dorfteiche-in-niemberg";"10-370-23";"2 Dorfteiche in Niemberg";"Teich";"review";"v9-standing-review";"1195.4";"";"2";"104.1";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (1195.4 m; Gap 104.1 m)."
"11-300-01-parkteich-zu-grojena";"11-300-01";"Parkteich zu Großjena";"Teich";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"11-300-02-baggerteich-in-naumburg";"11-300-02";"Baggerteich in Naumburg";"Teich";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"11-300-08-herren-und-bauernteich-in";"11-300-08";"Herren- und Bauernteich in";"Teich";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"11-310-02-toter-arm-bei-nebra";"11-310-02";"Toter Arm bei Nebra";"See";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"11-480-13-revierparkteich-profen";"11-480-13";"Revierparkteich Profen";"Teich";"review";"v9-standing-review";"1015.4";"";"2";"311.6";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (1015.4 m; Gap 311.6 m)."
