"id";"lavNumber";"name";"type";"district";"status";"tier";"latitude";"longitude";"confidence";"nameScore";"distanceKm";"candidateName";"locality";"reason"
"1-160-23-grube-minna-bei-kassieck";"1-160-23";"Grube Minna bei Kassieck";"Kiesgrube";"Altmarkkreis Salzwedel";"review";"unnamed-high";"52.5846956";"11.4873324";"0.927";"0";"0.17";"";"Kassieck";"Sehr nahes unbenanntes stehendes Wasser; vor Freigabe konkurrierende Teiche/Fläche prüfen."
"1-161-01-teich-am-anglerheim-burggraben";"1-161-01";"Teich am Anglerheim (Burggraben)";"Fließgewässer";"Altmarkkreis Salzwedel";"review";"flow";"51.773576";"10.7971424";"0.937";"0";"0.04";"";"Anglerheim";"Fließgewässer benötigt Abschnittsprüfung statt automatischem Mittelpunkt."
"1-161-02-milde-von-kalbe-straenbrucke";"1-161-02";"Milde von Kalbe (Straßenbrücke)";"Fließgewässer";"Altmarkkreis Salzwedel";"unmatched";"none";"";"";"";"";"";"";"";"Kein v3-Wasserkandidat vorhanden."
"1-161-03-untere-milde-von-winkelstedt";"1-161-03";"Untere Milde von Winkelstedt";"Fließgewässer";"Altmarkkreis Salzwedel";"review";"flow";"52.677317";"11.3072696";"0.914";"0";"0.34";"";"Winkelstedt";"Fließgewässer benötigt Abschnittsprüfung statt automatischem Mittelpunkt."
"1-260-01-dorfteich-miesterhorst";"1-260-01";"Dorfteich Miesterhorst";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-high";"52.460807";"11.1415221";"0.934";"0";"0.07";"";"Miesterhorst";"Sehr nahes unbenanntes stehendes Wasser; vor Freigabe konkurrierende Teiche/Fläche prüfen."
"1-260-02-anglerteiche-apenburg";"1-260-02";"Anglerteiche Apenburg";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.7100588";"11.2006718";"0.914";"0";"0.33";"";"Apenburg";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-260-03-wasserbecken-am-schlammgraben";"1-260-03";"Wasserbecken am Schlammgraben";"Fließgewässer";"Altmarkkreis Salzwedel";"review";"flow";"52.5761761";"11.0779017";"0.83";"0";"1.44";"";"Kusey";"Fließgewässer benötigt Abschnittsprüfung statt automatischem Mittelpunkt."
"1-260-04-prozebusch-in-dannefeld";"1-260-04";"Prozeßbusch in Dannefeld";"See";"Altmarkkreis Salzwedel";"review";"unnamed-high";"52.5076908";"11.1432105";"0.923";"0";"0.23";"";"Dannefeld";"Sehr nahes unbenanntes stehendes Wasser; vor Freigabe konkurrierende Teiche/Fläche prüfen."
"1-260-05-sauergrund-bei-dannefeld";"1-260-05";"Sauergrund bei Dannefeld";"See";"Altmarkkreis Salzwedel";"review";"unnamed-high";"52.5076908";"11.1432105";"0.923";"0";"0.23";"";"Dannefeld";"Sehr nahes unbenanntes stehendes Wasser; vor Freigabe konkurrierende Teiche/Fläche prüfen."
"1-260-07-beregnungsteich-bei-lockstedt";"1-260-07";"Beregnungsteich bei Lockstedt";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.6657464";"11.1942592";"0.892";"0";"0.63";"";"Lockstedt";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
