"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"officialDistanceM";"officialCandidateCount";"distanceGapM";"featureUseCount";"reason"
"4-171-25-groes-wasserloch-parey-kuhn-s-loch";"4-171-25";"Großes Wasserloch Parey (Kühn´s Loch)";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT0000dBD6";"146.7";"3";"48.3";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"4-171-27-herrensee-parey";"4-171-27";"Herrensee Parey";"See";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"4-172-01-elbe-havel-kanal-von-km-364-5";"4-172-01";"Elbe-Havel-Kanal von km 364,5";"Fließgewässer";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"4-173-02-elbe-havel-kanal-von-km-353-km-360";"4-173-02";"Elbe-Havel-Kanal von km 353 - km 360";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT000061OF_lin";"98.5";"3";"7.8";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"4-490-03-schloteich-und-2-nebenteiche-in";"4-490-03";"Schloßteich und 2 Nebenteiche in";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOT00002J4l";"699.8";"2";"27.8";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"4-491-02-griebensee-bei-prodel";"4-491-02";"Griebensee bei Prödel";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00002ZmK";"571.8";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"4-492-03-kleiner-teich-bei-dalchau";"4-492-03";"Kleiner Teich bei Dalchau";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOT000030Zq";"483";"2";"58";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"4-492-04-teich-in-gobel";"4-492-04";"Teich in Göbel";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOT00004TOm";"46";"2";"18.5";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"5-101-01-kiesgrube-zwischen-aschersleben";"5-101-01";"Kiesgrube zwischen Aschersleben";"Kiesgrube";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"5-190-01-krummer-teich-bei-dingelstedt";"5-190-01";"Krummer Teich bei Dingelstedt";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOT00000VhK";"417.9";"2";"22.2";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"5-190-08-halberstadter-see-ii";"5-190-08";"Halberstädter See II";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00001ldu";"244.8";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"5-191-01-fischteich-osterwieck";"5-191-01";"Fischteich Osterwieck";"Teich";"matched";"v72-standing-gap";"StandingWater_DESTGEOT00000HQX";"40.4";"1";"9999";"1";"Konfliktfreies stehendes Gewässer: höchstens 50 m entfernt und mindestens 100 m Vorsprung vor dem nächsten amtlichen Kandidaten."
"5-191-03-turmteich-eilenstedt";"5-191-03";"Turmteich Eilenstedt";"Teich";"matched";"v72-standing-single";"StandingWater_DESTGEOT00001bjH";"37.7";"1";"9999";"1";"Konfliktfreies stehendes Gewässer: einziger amtlicher Kandidat im Suchbereich und höchstens 40 m entfernt."
"5-340-01-erichsburger-teich-bei-friedrichsbrunn";"5-340-01";"Erichsburger Teich bei Friedrichsbrunn";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT000013d8";"305.1";"1";"9999";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"5-340-02-bergrat-muller-teich-bei-gernrode";"5-340-02";"Bergrat-Müller Teich bei Gernrode";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00001ogw";"593.1";"3";"135.8";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"5-340-03-neuer-teich-bei-gernrode";"5-340-03";"Neuer Teich bei Gernrode";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00001ogw";"593.1";"3";"135.8";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"5-340-06-hauptseegraben-von-kreisgrenze";"5-340-06";"Hauptseegraben von Kreisgrenze";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT00001Dro_lin";"120";"3";"169.7";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
