"id";"lavNumber";"name";"type";"result";"anchor";"anchorRule";"distanceM";"officialName";"candidateCount";"nameScore";"gapM";"reason"
"7-120-41-waldteich-thalheim";"7-120-41";"Waldteich Thalheim";"Teich";"review";"Thalheim";"suffix1";"140.7";"";"4";"0.000";"483.8";"v11-Ortsanker 'Thalheim' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-120-42-tranke-thalheim";"7-120-42";"Tränke Thalheim";"See";"review";"Thalheim";"suffix1";"140.7";"";"4";"0.000";"483.8";"v11-Ortsanker 'Thalheim' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-120-50-dorfteich-beyersdorf";"7-120-50";"Dorfteich Beyersdorf";"Teich";"review";"Beyersdorf";"suffix1";"83.9";"";"3";"0.000";"761.8";"v11-Ortsanker 'Beyersdorf' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-120-51-dorfteich-kockern";"7-120-51";"Dorfteich Köckern";"Teich";"review";"Köckern";"suffix1";"747.8";"";"2";"0.000";"191.9";"v11-Ortsanker 'Köckern' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-120-52-generalsteich-schrenz";"7-120-52";"Generalsteich Schrenz";"Teich";"review";"Schrenz";"suffix1";"38.5";"";"3";"0.000";"123.6";"v11-Ortsanker 'Schrenz' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-121-01-vergimeinnicht-postgrube";"7-121-01";"Vergißmeinnicht (Postgrube)";"Kiesgrube";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-121-02-deutsche-grube-zscherndorf";"7-121-02";"Deutsche Grube Zscherndorf";"Kiesgrube";"review";"Grube Zscherndorf";"suffix2";"48.0";"Deutsche Grube";"3";"0.538";"741.0";"v11-Ortsanker 'Grube Zscherndorf' (suffix2) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-122-01-kiesgrube-dessauer-str-loberitz";"7-122-01";"Kiesgrube Dessauer Str. Löberitz";"Kiesgrube";"review";"Str. Löberitz";"suffix2";"152.8";"";"3";"0.000";"248.0";"v11-Ortsanker 'Str. Löberitz' (suffix2) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-272-05-taube-von-700m-unterhalb-einmundung";"7-272-05";"Taube von 700m unterhalb Einmündung";"See";"review";"unterhalb";"suffix2";"523.1";"";"2";"0.000";"536.8";"v11-Ortsanker 'unterhalb' (suffix2) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-273-01-baufeld-worbzig-1-groe-kiesgrube";"7-273-01";"Baufeld Wörbzig 1 - Große Kiesgrube";"Kiesgrube";"review";"Kiesgrube";"suffix1";"26.8";"Kleine Kiesgrube Kröllwitz";"3";"0.167";"89.1";"v11-Ortsanker 'Kiesgrube' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-273-02-baufeld-worbzig-2-kleinere-kiesgrube";"7-273-02";"Baufeld Wörbzig 2 - Kleinere Kiesgrube";"Kiesgrube";"review";"Kiesgrube";"suffix1";"26.8";"Kleine Kiesgrube Kröllwitz";"3";"0.167";"89.1";"v11-Ortsanker 'Kiesgrube' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-273-08-tagebau-edderitz-boote-ohne-motor";"7-273-08";"Tagebau Edderitz - Boote ohne Motor";"Kiesgrube";"review";"Motor";"suffix1";"447.9";"";"3";"0.000";"135.2";"v11-Ortsanker 'Motor' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-273-18-pelzteich-gorzig";"7-273-18";"Pelzteich Görzig";"Teich";"review";"Görzig";"suffix1";"128.9";"";"5";"0.000";"341.3";"v11-Ortsanker 'Görzig' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-273-20-teich-in-weddershausen";"7-273-20";"Teich in Weddershausen";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-275-07-groer-und-kleiner-parkteich";"7-275-07";"Großer und Kleiner Parkteich";"Teich";"review";"Parkteich";"suffix1";"8.1";"Parkteich";"4";"0.310";"141.5";"v11-Ortsanker 'Parkteich' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-275-09-entfallt";"7-275-09";"entfällt";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-275-18-maxdorfer-teich";"7-275-18";"Maxdorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-275-24-busch-raten-dornbock";"7-275-24";"Busch-Räten Dornbock";"See";"review";"Dornbock";"suffix1";"94.1";"";"4";"0.000";"280.5";"v11-Ortsanker 'Dornbock' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-276-06-muhlteich-merzien";"7-276-06";"Mühlteich Merzien";"Teich";"review";"Merzien";"suffix1";"129.9";"";"4";"0.000";"175.0";"v11-Ortsanker 'Merzien' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
