"id";"lavNumber";"name";"district";"status";"confidence";"method";"latitude";"longitude";"locality";"candidateName";"distanceKm";"candidateAreaHa"
"8-460-58-wilde-kolke-i-bei-dabrun-melzwig";"8-460-58";"Wilde Kölke I bei Dabrun/Melzwig";"Wittenberg";"review";"0.854";"locality-water-review";"51.8287999";"12.7242829";"Dabrun/Melzwig";"";"0.52";""
"8-460-59-tiefes-loch-bleddin";"8-460-59";"Tiefes Loch Bleddin";"Wittenberg";"review";"0.902";"locality-water-review";"51.7876459";"12.784032";"Bleddin";"";"0.23";""
"8-460-61-groen-lache-bei-pratau";"8-460-61";"Großen Lache bei Pratau";"Wittenberg";"review";"0.874";"locality-water-review";"51.8460287";"12.6452708";"Pratau";"";"0.4";""
"8-460-62-wasserruckhaltebecken";"8-460-62";"Wasserrückhaltebecken";"Wittenberg";"review";"0.84";"locality-water-review";"51.93392";"12.5963269";"Nudersdorf";"";"1.31";""
"8-460-63-schwarzes-loch-1-3";"8-460-63";"Schwarzes Loch (1-3)";"Wittenberg";"unmatched";"";"";"";"";"Wittenberg";"";"";""
"8-460-64-alter-see-bei-trebitz";"8-460-64";"Alter See bei Trebitz";"Wittenberg";"review";"0.822";"locality-water-review";"51.7587087";"12.7558475";"Trebitz";"";"0.72";""
"8-460-65-braken-bei-trebitz";"8-460-65";"Bräken bei Trebitz";"Wittenberg";"review";"0.822";"locality-water-review";"51.7587087";"12.7558475";"Trebitz";"";"0.72";""
"8-460-66-das-tiefe-loch-bei-trebitz";"8-460-66";"Das Tiefe Loch bei Trebitz";"Wittenberg";"review";"0.822";"locality-water-review";"51.7587087";"12.7558475";"Trebitz";"";"0.72";""
"8-460-67-katzenergel-bei-seegrehna";"8-460-67";"Katzenergel bei Seegrehna";"Wittenberg";"unmatched";"";"";"";"";"";"";"";""
"8-460-72-angerteich-korgau";"8-460-72";"Angerteich Korgau";"Wittenberg";"review";"0.85";"locality-water-review";"51.669343";"12.7496915";"Korgau";"";"1.17";""
"8-460-73-zahna-von-der-strae-zahna";"8-460-73";"Zahna von der Straße Zahna-";"Wittenberg";"unmatched";"";"";"";"";"die Elbe";"";"";""
"8-460-74-drostekolk-pratau";"8-460-74";"Dröstekolk Pratau";"Wittenberg";"review";"0.874";"locality-water-review";"51.8460287";"12.6452708";"Pratau";"";"0.4";""
"8-460-75-rehkolk-apollensdorf";"8-460-75";"Rehkolk Apollensdorf";"Wittenberg";"review";"0.895";"locality-water-review";"51.8720593";"12.5418473";"Rehkolk Apollensdorf";"";"0.28";""
"8-460-76-wolfskolk-seegrehna";"8-460-76";"Wolfskolk Seegrehna";"Wittenberg";"unmatched";"";"";"";"";"";"";"";""
"8-460-77-kl-und-gr-loch-bei-pratau-3-eichen";"8-460-77";"Kl. und gr. Loch bei Pratau (3 Eichen)";"Wittenberg";"review";"0.874";"locality-water-review";"51.8460287";"12.6452708";"Pratau";"";"0.4";""
"9-150-01-dorfteich-klosterrode";"9-150-01";"Dorfteich Klosterrode";"Mansfeld-Südharz";"review";"0.914";"locality-water-review";"51.4980318";"11.4446973";"Klosterrode";"";"0.16";""
"9-150-02-monchsteich-hausbergteich-bischofrode-a-k-ro-s-0-50";"9-150-02";"Mönchsteich (Hausbergteich) Bischofrode A, K, Ro, S 0,50";"Mansfeld-Südharz";"unmatched";"";"";"";"";"";"";"";""
"9-150-03-gemeindebad-neptun-helbra";"9-150-03";"Gemeindebad Neptun Helbra";"Mansfeld-Südharz";"unmatched";"";"";"";"";"Helbra";"";"";""
"9-150-04-parkbad-anna-helbra";"9-150-04";"Parkbad Anna Helbra";"Mansfeld-Südharz";"review";"0.915";"locality-water-review";"51.5613221";"11.4800467";"Anna Helbra";"";"0.15";""
"9-150-05-ottilienteich-bei-roblingen";"9-150-05";"Ottilienteich bei Röblingen";"Mansfeld-Südharz";"review";"0.789";"locality-water-review";"51.4535698";"11.6731185";"Röblingen";"";"0.92";""
"9-150-06-marthateich-bei-wansleben";"9-150-06";"Marthateich bei Wansleben";"Mansfeld-Südharz";"unmatched";"";"";"";"";"Wansleben";"";"";""
"9-150-08-restl-tonlocher-ost-bei-wansleben";"9-150-08";"restl. Tonlöcher Ost bei Wansleben";"Mansfeld-Südharz";"unmatched";"";"";"";"";"Wansleben";"";"";""
"9-150-09-grube-bornstedt-neugluck";"9-150-09";"Grube Bornstedt Neuglück";"Mansfeld-Südharz";"unmatched";"";"";"";"";"Bornstedt Neuglück";"";"";""
"9-150-11-minnabad-volkstedt";"9-150-11";"Minnabad Volkstedt";"Mansfeld-Südharz";"review";"0.847";"locality-water-review";"51.5696092";"11.5423583";"Volkstedt";"";"0.57";""
"9-150-12-kleinwasserspeicher-ziegelrode";"9-150-12";"Kleinwasserspeicher Ziegelrode";"Mansfeld-Südharz";"unmatched";"";"";"";"";"Ziegelrode";"";"";""
"9-150-13-hofteich-in-stedten";"9-150-13";"Hofteich in Stedten";"Mansfeld-Südharz";"unmatched";"";"";"";"";"Stedten";"";"";""
"9-150-14-schaferteich-in-stedten";"9-150-14";"Schäferteich in Stedten";"Mansfeld-Südharz";"review";"0.88";"locality-water-review";"51.4395334";"11.7025817";"Stedten";"";"0.37";""
"9-150-15-mittelgraben-v-stollengraben-bis";"9-150-15";"Mittelgraben v. Stollengraben bis";"Mansfeld-Südharz";"review";"0.784";"locality-water-review";"51.6571329";"12.3058934";"bis";"";"0.95";""
"9-150-17-sudlicher-ringkanal-von";"9-150-17";"Südlicher Ringkanal von";"Mansfeld-Südharz";"unmatched";"";"";"";"";"von";"";"";""
"9-150-18-tonloch-lauraberg-roblingen";"9-150-18";"Tonloch Lauraberg Röblingen";"Mansfeld-Südharz";"review";"0.789";"locality-water-review";"51.4535698";"11.6731185";"Röblingen";"";"0.92";""
"9-150-19-helmsdorfer-teiche";"9-150-19";"Helmsdorfer Teiche";"Mansfeld-Südharz";"unmatched";"";"";"";"";"";"";"";""
"9-150-21-groes-tonloch-wansleben";"9-150-21";"Großes Tonloch Wansleben";"Mansfeld-Südharz";"unmatched";"";"";"";"";"Wansleben";"";"";""
"9-150-22-nonnental-hornurg";"9-150-22";"Nonnental Hornurg";"Mansfeld-Südharz";"unmatched";"";"";"";"";"";"";"";""
"9-151-01-rudels-teich-bei-helfta";"9-151-01";"Rüdels Teich bei Helfta";"Mansfeld-Südharz";"review";"0.866";"locality-water-review";"51.5056173";"11.5730922";"Helfta";"";"0.45";""
