V28 – 1000 m / complete-name >=60% matching
Base: visually confirmed V22.

Rule:
1. Angelatlas/LAV reference point.
2. Search named natural=water OSM Ways within max. 1000 m.
3. Compare COMPLETE normalized LAV and OSM names.
4. Do NOT remove See/Teich/Kiesgrube/etc.
5. Similarity must be >=60%.
6. Exactly ONE qualifying OSM Way is required.
7. Marker is taken from that exact OSM Way geometry in the local PBF.
8. Multiple >=60% candidates are deliberately NOT added.

Unique matches written: 186
Ambiguous cases not written: 14

köhnsee kläden -> Köhnsee | way 77929671 | 220 m | similarity 66.7% | marker 52.6377331,11.6494017
schwanenteich in stendal -> Schwanenteich | way 27046823 | 432 m | similarity 70.3% | marker 52.6067776,11.8677922
tagebau miltern -> Sandgrube Miltern | way 101418600 | 87 m | similarity 68.8% | marker 52.5656953,11.9089973
jaeneckes teiche bei stendal -> Jaeneckes Teiche | way 27046822 | 299 m | similarity 72.7% | marker 52.5962038,11.8812671
holzmühlenteich in flechtingen -> Holzmühlenteich | way 303356656 | 469 m | similarity 66.7% | marker 52.3117134,11.2099312
neuer teich in bebertal -> Neuer Teich | way 255552948 | 153 m | similarity 64.7% | marker 52.2504961,11.3238898
gutsteich kleinsantersleben bei schackensleben -> Klein Santerslebener Teich | way 144209986 | 490 m | similarity 61.1% | marker 52.2043455,11.4228818
schäferteich bei hörsingen -> Schäferteich | way 25212826 | 171 m | similarity 63.2% | marker 52.2814850,11.1602705
wegenstedter teich bei calvörde -> Wegenstedter Teich | way 41418456 | 493 m | similarity 73.5% | marker 52.3935243,11.2845611
papenteich bei emden -> Papenteich | way 10426017 | 143 m | similarity 66.7% | marker 52.2346566,11.2991870
waldsteinbruch hundisburg -> Waldsteinbruch Hundisburg | way 132470093 | 383 m | similarity 100.0% | marker 52.2573567,11.4080217
koppelteiche hundisburg -> Waldsteinbruch Hundisburg | way 132470093 | 922 m | similarity 70.8% | marker 52.2573567,11.4080217
schwanenteich hundisburg -> Waldsteinbruch Hundisburg | way 132470093 | 947 m | similarity 73.5% | marker 52.2573567,11.4080217
priesterteich in eggenstedt -> Priesterteich | way 58123058 | 380 m | similarity 65.0% | marker 52.1027856,11.2341481
bauernteich in schermke -> Bauernteich | way 93180932 | 421 m | similarity 64.7% | marker 52.0570013,11.2866326
