lavNumber;catalogName;atlasName;latitude;longitude;featureId;geometryType;status
7-120-01;Alte Mulde bei Rösa;Alte Mulde bei Rösa;51.61;12.53;v_gewaesser.fid-36945e2d_19febabadac_6e23;MultiPolygon;AUTO_CANDIDATE
7-120-04;Alte Mulde Roitzschjora;Alte Mulde Roitzschjora;51.59;12.49;v_gewaesser.fid-36945e2d_19febabadac_6d2b;MultiPolygon;AUTO_CANDIDATE
7-120-06;Unterer Ziegeleiteich Muldenstein;Unterer Ziegeleiteich Muldenstein;51.66;12.34;v_gewaesser.fid-36945e2d_19febabadac_6e2f;MultiPolygon;AUTO_CANDIDATE
7-120-13;Muldestausee;Muldestausee;51.6419608;12.4013725;v_gewaesser.fid-36945e2d_19febabadac_6ddc;MultiPolygon;AUTO_CANDIDATE
7-120-19;Lober-Leine-Kanal;Lober-Leine-Kanal;51.59;12.41;v_gewaesser.fid-36945e2d_19febabadac_6a08;MultiPolygon;AUTO_CANDIDATE
7-120-21;Mulde v. Landesgr. Sachsen bis Stausee,;Mulde v. Landesgr. Sachsen bis Stausee;51.6058333;12.4608333;v_gewaesser.fid-36945e2d_19febabadac_6de9;MultiPolygon;LOCKED
7-120-22;Mulde von ca. 750m oberhalb Wehr;Mulde von ca. 750m oberhalb Wehr Jeßnitz bis Einmündung Mühlgraben;51.68;12.32;v_gewaesser.fid-36945e2d_19febabadac_6a09;MultiPolygon;LOCKED
7-120-23;Mulde von ca. 500m oberhalb Brücke;Mulde von ca. 500m oberhalb Brücke bis Brücke Raghun;51.71;12.3;v_gewaesser.fid-36945e2d_19febabadac_6e0e;MultiPolygon;LOCKED
7-120-32;Luthers Linde Muldenstein;Luthers Linde Muldenstein;51.67;12.34;v_gewaesser.fid-36945e2d_19febabadac_6cb7;MultiPolygon;AUTO_CANDIDATE
7-120-34;Alte Mulde in Friedersdorf;Alte Mulde in Friedersdorf;51.645;12.345;v_gewaesser.fid-36945e2d_19febabadac_6d7f;MultiPolygon;AUTO_CANDIDATE
7-400-01;Alte Elbe bei Dornburg;Alte Elbe bei Dornburg/Elbumflut von Alte Fähre bis Einmündung neue Ehle;52.05;11.8;v_gewaesser.fid-36945e2d_19febabadac_6d58;MultiPolygon;AUTO_CANDIDATE
8-183-02;Elbe von km 244, 5 - km 248, 3 linksseitig;Elbe von km 244,5-248,3 linksseitig;51.8666667;12.3366667;v_gewaesser.fid-36945e2d_19febabadac_6a0c;MultiPolygon;AUTO_CANDIDATE
8-183-06;Alter Graben Wörlitz;Alter Graben Wörlitz;51.84;12.45;v_gewaesser.fid-36945e2d_19febabadac_6d34;MultiPolygon;AUTO_CANDIDATE
8-183-07;Am Fließgraben-Diestelsee bei Wörlitz;Am Fließgraben-Diestelsee bei Wörlitz;51.85;12.43;v_gewaesser.fid-36945e2d_19febabadac_6d35;MultiPolygon;AUTO_CANDIDATE
8-183-08;Fuhrtgraben bei Wörlitz;Fuhrtgraben bei Wörlitz;51.84;12.41;v_gewaesser.fid-36945e2d_19febabadac_6d36;MultiPolygon;AUTO_CANDIDATE
8-183-13;Kapengraben von ehem. B107 bis zur;Kapengraben von ehem. B107 bis zur Straßenbrücke Waldersee-Vockerode;51.8166667;12.4066667;v_gewaesser.fid-36945e2d_19febabadac_6a0d;MultiPolygon;AUTO_CANDIDATE
8-183-14;Fließgraben von Straßenbrücke;Fließgraben;51.8566667;12.4133333;v_gewaesser.fid-36945e2d_19febabadac_6a0e;MultiPolygon;AUTO_CANDIDATE
8-183-16;Hauptgraben von Wörlitz bis Kakau;Hauptgraben von Wörlitz bis Kakau;51.83;12.45;v_gewaesser.fid-36945e2d_19febabadac_6d38;MultiPolygon;AUTO_CANDIDATE
8-250-06;Schweinitzer Fließ von Landesgrenze bis A, B, Bl, H, Pl, Ro, S 9,50 Einlauf Morgengraben bei Zwuschen/Dixförda;Schweinitzer Fließ von Landesgrenze bis Einlauf Morgengraben bei Zwuschen/Dixförda;51.8133333;13.0666667;v_gewaesser.fid-36945e2d_19febabadac_6a0f;MultiPolygon;AUTO_CANDIDATE
8-250-12;Neugraben von Landesgrenze bis;Neugraben von Landesgrenze bis Mündung in die Schwarze Elster;51.74;13.03;v_gewaesser.fid-36945e2d_19febabadac_6da8;MultiPolygon;AUTO_CANDIDATE
8-250-13;Landlache vom Plossiger Graben bis;Landlache vom Plossiger Graben bis Mündung in die Schwarze Elster;51.74;12.93;v_gewaesser.fid-36945e2d_19febabadac_6a15;MultiPolygon;AUTO_CANDIDATE
8-251-01;Kiestagebau Elbekies bei Prettin;Kiestagebau Elbekies bei Prettin;51.675;12.885;v_gewaesser.fid-36945e2d_19febabadac_6d3c;MultiPolygon;AUTO_CANDIDATE
8-251-03;Elbe km 168, 2 - km 182, 0 rechtss.;Elbe km 168,2-182,0;51.6666667;12.8966667;v_gewaesser.fid-36945e2d_19febabadac_69d5;MultiPolygon;AUTO_CANDIDATE
8-252-01;Alte Elbe in Iserbegka bei Elster;Alte Elbe in Iserbegka bei Elster;51.84;12.79;v_gewaesser.fid-36945e2d_19febabadac_6b84;MultiPolygon;AUTO_CANDIDATE
8-460-02;Brauteich, Schloßgraben und;Brauteich, Schloßgraben und Dorfteich in Kropstädt;51.96;12.74;v_gewaesser.fid-36945e2d_19febabadac_6d60;MultiPolygon;AUTO_CANDIDATE
8-460-22;1. Brücke, Graben zum großen Loch;1. Brücke, Graben zum großen Loch;51.85;12.64;v_gewaesser.fid-36945e2d_19febabadac_6caa;MultiPolygon;AUTO_CANDIDATE
8-460-25;Streng (Alte Elbe Bleesern) bei Seegrehna;Streng (Alte Elbe Bleesern) bei Seegrehna;51.85;12.55;v_gewaesser.fid-36945e2d_19febabadac_6cfb;MultiPolygon;AUTO_CANDIDATE
8-460-38;Fließgraben vom Wachsdorfer;Fließgraben vom Wachsdorfer Wehr bis Kreisgrenze;51.82;12.58;v_gewaesser.fid-36945e2d_19febabadac_6a16;MultiPolygon;AUTO_CANDIDATE
