lavNumber;catalogName;atlasName;latitude;longitude;featureId;geometryType;status
1-260-15;Ohre in Jahrstedt;Ohre in Jahrstedt;52.56;10.98;v_gewaesser.fid-36945e2d_19febabadac_6c8b;MultiPolygon;LOCKED
1-260-20;Untere Milde Cheinitz;Untere Milde Cheinitz;52.7;11.27;v_gewaesser.fid-36945e2d_19febabadac_69a5;MultiPolygon;AUTO_CANDIDATE
1-260-22;Moorgraben Cheinitz/Brüchau;Moorgraben Cheinitz/Brüchau;52.7;11.23;v_gewaesser.fid-36945e2d_19febabadac_6d6c;MultiPolygon;AUTO_CANDIDATE
1-380-13;Jeetze bei Dambeck;Jeetze bei Dambeck;52.79;11.16;v_gewaesser.fid-36945e2d_19febabadac_6d53;MultiPolygon;LOCKED
1-380-16;Kalter Graben bei Wallstawe;Kalter Graben bei Wallstawe bis Mündung in die Dumme;52.8;11.0;v_gewaesser.fid-36945e2d_19febabadac_6d55;MultiPolygon;AUTO_CANDIDATE
1-381-01;Flöt- und Mühlgraben bei Mechau;Flöt- und Mühlgraben bei Mechau;52.86;11.36;v_gewaesser.fid-36945e2d_19febabadac_6c7a;MultiPolygon;AUTO_CANDIDATE
2-160-02;Secantsgraben von Straßenbrücke;Secantsgraben von Straßenbrücke Lindstedt/Holzhausen bis Straßenbrücke Kalbe/Neuendorf am Damm;52.61;11.48;v_gewaesser.fid-36945e2d_19febabadac_69bd;MultiPolygon;AUTO_CANDIDATE
2-220-10;Eichenschlenke bei Havelberg;Eichenschlenke bei Havelberg;52.82;12.04;v_gewaesser.fid-36945e2d_19febabadac_6a2f;MultiPolygon;AUTO_CANDIDATE
2-220-11;Kampierung bei Havelberg;Kampierung bei Havelberg;52.82;12.04;v_gewaesser.fid-36945e2d_19febabadac_6c7f;MultiPolygon;AUTO_CANDIDATE
2-220-12;Große Wiesenschlenke bei Havelberg;Große Wiesenschlenke bei Havelberg;52.82;12.04;v_gewaesser.fid-36945e2d_19febabadac_6c80;MultiPolygon;AUTO_CANDIDATE
2-220-13;Hornings Bracke bei Havelberg;Hornings Bracke bei Havelberg;52.82;12.04;v_gewaesser.fid-36945e2d_19febabadac_6cf8;MultiPolygon;AUTO_CANDIDATE
2-220-14;Kühnsches Loch bei Havelberg;Kühnsches Loch bei Havelberg;52.82;12.04;v_gewaesser.fid-36945e2d_19febabadac_6c7e;MultiPolygon;AUTO_CANDIDATE
2-220-15;Karpfenlöcher bei Havelberg;Karpfenlöcher bei Havelberg;52.81;12.04;v_gewaesser.fid-36945e2d_19febabadac_6cf9;MultiPolygon;AUTO_CANDIDATE
2-220-18;Elbe km 428-431 rechtsseitig;Elbe km 428-431 rechtsseitig;52.8755555;11.9855556;v_gewaesser.fid-36945e2d_19febabadac_69be;MultiPolygon;AUTO_CANDIDATE
2-220-20;Garzer See in Havelberg;Garzer See in Havelberg;52.75;12.21;v_gewaesser.fid-36945e2d_19febabadac_6c57;MultiPolygon;AUTO_CANDIDATE
2-330-11;Alte Elbe und Gänsebrink;Alte Elbe und Gänsebrink Berge/Sandauer Holz;52.81;11.99;v_gewaesser.fid-36945e2d_19febabadac_6a37;MultiPolygon;AUTO_CANDIDATE
2-330-12;Binnengewässer links der Elbe;Binnengewässer links der Elbe bei Pappelhagen;52.95;11.81;v_gewaesser.fid-36945e2d_19febabadac_6c7c;MultiPolygon;AUTO_CANDIDATE
2-330-14;Elbe von km 428 - 454 linksseitig;Elbe von km 428 - 454;52.908;11.882;v_gewaesser.fid-36945e2d_19febabadac_69bf;MultiPolygon;AUTO_CANDIDATE
2-330-29;Bodenentnahmestelle Losenrade 1;Bodenentnahmestelle Losenrade 1;52.96;11.77;v_gewaesser.fid-36945e2d_19febabadac_6c73;MultiPolygon;AUTO_CANDIDATE
2-330-30;Bodenentnahmestelle Krüden;Bodenentnahmestelle Krüden;52.95;11.69;v_gewaesser.fid-36945e2d_19febabadac_6c74;MultiPolygon;AUTO_CANDIDATE
2-332-01;Milde/Biese von Einmündung des;Milde/Biese von Einmündung des Secantsgrabens (bei Butterhorst) bis Einmündung des Augrabens (b. Gladigau);52.73;11.52;v_gewaesser.fid-36945e2d_19febabadac_6d1f;MultiPolygon;AUTO_CANDIDATE
2-334-01;Bleichwehl bei Werben/Elbe;Bleichwehl bei Werben/Elbe;52.86;12.0;v_gewaesser.fid-36945e2d_19febabadac_6a3d;MultiPolygon;AUTO_CANDIDATE
2-334-02;Marschners Loch bei Werben/Elbe;Marschners Loch bei Werben/Elbe;52.87;12.0;v_gewaesser.fid-36945e2d_19febabadac_6a3e;MultiPolygon;AUTO_CANDIDATE
2-420-08;Elbe km 392 - 402 linksseitig;Elbe km 392 - 402;52.6238889;12.0061111;v_gewaesser.fid-36945e2d_19febabadac_69c7;MultiPolygon;AUTO_CANDIDATE
2-421-01;Dollgraben;Dollgraben;52.45;11.79;v_gewaesser.fid-36945e2d_19febabadac_69c8;MultiPolygon;AUTO_CANDIDATE
2-421-11;Elbe km 372, 4 – km 378 linksseitig;Elbe km 372, 4 - km 378 linksseitig;52.425;11.985;v_gewaesser.fid-36945e2d_19febabadac_69ca;MultiPolygon;AUTO_CANDIDATE
2-422-12;Elbe km 386-392 beidseitig, km 391-392;Elbe km 386-392 beidseitig;52.5533333;11.9813333;v_gewaesser.fid-36945e2d_19febabadac_69cb;MultiPolygon;AUTO_CANDIDATE
3-200-08;Mühlenteich Bodendorf bei Süplingen;Mühlenteich Bodendorf bei Süplingen;52.29;11.29;v_gewaesser.fid-36945e2d_19febabadac_6a5b;MultiPolygon;AUTO_CANDIDATE
3-200-13;Hofteich Bodendorf;Hofteich Bodendorf;52.29;11.29;v_gewaesser.fid-36945e2d_19febabadac_6a5c;MultiPolygon;AUTO_CANDIDATE
3-200-33;Mittelllandkanal Bereich;Mittelllandkanal Bereich Haldensleben;52.3213333;11.3606667;v_gewaesser.fid-36945e2d_19febabadac_69d0;MultiPolygon;AUTO_CANDIDATE
3-200-34;Ohre von Straßenbrücke Calvörde;Ohre von Straßenbrücke Calvörde bis Vahlsdorfer Brücke;52.3116667;11.4;v_gewaesser.fid-36945e2d_19febabadac_6dd2;MultiPolygon;LOCKED
3-261-01;Mittellandkanal Bereich Oebisfelde;Mittellandkanal Bereich Oebisfelde;52.4448718;11.1184615;v_gewaesser.fid-36945e2d_19febabadac_69d9;MultiPolygon;AUTO_CANDIDATE
3-261-05;Landgraben bei Oebisfelde;Landgraben bei Oebisfelde;52.41;11.0;v_gewaesser.fid-36945e2d_19febabadac_69db;MultiPolygon;AUTO_CANDIDATE
3-430-08;Bode von Einmündung des Mühl-;Bode von Einmündung des Mühlgrabens an der Bodebrücke Hadmersleben bis Wehr Egeln-Nord (Oberwasser);51.99;11.38;v_gewaesser.fid-36945e2d_19febabadac_69cd;MultiPolygon;LOCKED
3-470-06;Mittellandkanal Bereich Wolmirstedt;Mittellandkanal Bereich Wolmirstedt;52.23;11.57;v_gewaesser.fid-36945e2d_19febabadac_69dc;MultiPolygon;AUTO_CANDIDATE
3-470-17;Ohre von Vahldorfer Brücke bis;Ohre von Vahldorfer Brücke bis Ortsgrenze Wolmirstedt;52.26;11.55;v_gewaesser.fid-36945e2d_19febabadac_69dd;MultiPolygon;LOCKED
3-470-26;Ohre von Wolmirstedt bis Elbmündung;Ohre von Wolmirstedt bis Elbmündung;52.2933333;11.7133333;v_gewaesser.fid-36945e2d_19febabadac_69de;MultiPolygon;LOCKED
3-470-27;Mittellandkanal km 320, 10 – 321, 10;Mittellandkanal km 320,10 – km 321,10;52.23;11.68;v_gewaesser.fid-36945e2d_19febabadac_69df;MultiPolygon;LOCKED
3-472-05;Ohre Stadgebiet Wolmirstedt;Ohre Stadgebiet Wolmirstedt;52.25;11.62;v_gewaesser.fid-36945e2d_19febabadac_6a98;MultiPolygon;LOCKED
4-130-01;Alte Elbe Lostau;Alte Elbe Lostau;52.2066667;11.7266667;v_gewaesser.fid-36945e2d_19febabadac_6a99;MultiPolygon;AUTO_CANDIDATE
4-130-15;Elbe-Havel-Kanal km 326, 67- km 344;Elbe-Havel-Kanal km326, 67-km344;52.2833333;11.8446667;v_gewaesser.fid-36945e2d_19febabadac_69e0;MultiPolygon;LOCKED
4-130-18;Elbe km 334-350 beidseitig;Elbe km 334-350 beidseitig;52.2690476;11.7380952;v_gewaesser.fid-36945e2d_19febabadac_69e1;MultiPolygon;AUTO_CANDIDATE
4-130-24;Niegripper Verbindungskanal;Niegripper Verbindungskanal von km 0, 95 - km 1, 60;52.25;11.73;v_gewaesser.fid-36945e2d_19febabadac_69e6;MultiPolygon;AUTO_CANDIDATE
4-130-31;Alte Elbe bei Niegripp;Alte Elbe bei Niegripp;52.29;11.77;v_gewaesser.fid-36945e2d_19febabadac_6d6a;MultiPolygon;AUTO_CANDIDATE
4-130-32;Niegripper Altkanal (Teilfläche);Niegripper Altkanal;52.2733333;11.7933333;v_gewaesser.fid-36945e2d_19febabadac_6a14;MultiPolygon;AUTO_CANDIDATE
4-130-36;Mittellandkanal km 322,82 - km 324,46 A, Bl, K, Pl, Z 5,31 Nordufer;Mittellandkanal km 322,82-km 324,6 nur Nordufer;52.2366667;11.7233333;v_gewaesser.fid-36945e2d_19febabadac_6e46;MultiPolygon;LOCKED
4-170-01;Lehmkuhlengraben bei Parchen;Lehmkuhlengraben bei Parchen;52.36;12.06;v_gewaesser.fid-36945e2d_19febabadac_69e7;MultiPolygon;AUTO_CANDIDATE
4-170-04;Mühlengraben bei Mützel;Mühlengraben bei Mützel;52.39;12.17;v_gewaesser.fid-36945e2d_19febabadac_69e8;MultiPolygon;AUTO_CANDIDATE
4-170-08;Altenplatower-Altkanal;Altenplatower-Altkanal km 360 - km 361, 5;52.42;12.13;v_gewaesser.fid-36945e2d_19febabadac_69e9;MultiPolygon;AUTO_CANDIDATE
4-170-09;Roßdorfer Altkanal km 0, 0 bis;Roßdorfer Altkanal km 0, 0 bis Brücke Dunkelforth (B1) am Nordufer;52.42;12.2;v_gewaesser.fid-36945e2d_19febabadac_69ea;MultiPolygon;AUTO_CANDIDATE
4-170-12;Torschiffahrtskanal vom Wehr Mützel bis A, B, Bl, H, Pl, Qu 3,00 zur Mündung in den Fiener Haupvorfluter;Torschiffahrtskanal vom Wehr Mützel bis zur Mündung in den Fiener Haupvorfluter;52.37;12.18;v_gewaesser.fid-36945e2d_19febabadac_69ec;MultiPolygon;AUTO_CANDIDATE
4-170-14;Hauptstremme vom Roßdorfer Altkanal A, B, Bl, H, Pl, S 8,00 bis zur Einmündung des Galmer Grabens;Hauptstremme vom Roßdorfer Altkanal bis zur Einmündung des Galmer Grabens;52.48;12.25;v_gewaesser.fid-36945e2d_19febabadac_69ed;MultiPolygon;AUTO_CANDIDATE
4-170-15;Schlagenthiner Stremme vom Roßdorfer A, B, Bl, H, Pl, S 7,00 Altkanal bis zur Hauptstremme;Schlagenthiner Stremme vom Roßdorfer Altkanal bis zur Hauptstremme;52.45;12.25;v_gewaesser.fid-36945e2d_19febabadac_69ee;MultiPolygon;AUTO_CANDIDATE
4-170-16;Elbe-Havel-Kanal von km 360 bis 364, 5 A, B, Bl, H, K, 71,92 (Brücke B1 Ortsausgang Genthin) und;Elbe-Havel-Kanal von km 360 bis 364, 5 (Brücke B1 Ortsausgang Genthin) und von km 365, 7 (Einmündung Neuer Graben) bis km 372, 8;52.4;12.21;v_gewaesser.fid-36945e2d_19febabadac_69ef;MultiPolygon;LOCKED
4-171-03;Mühlenlanke-Herrenseegraben bei Parey;Mühlenlanke-Herrenseegraben bei Parey;52.37;11.96;v_gewaesser.fid-36945e2d_19febabadac_6c83;MultiPolygon;AUTO_CANDIDATE
4-171-05;Alte Elbe mit Tunnel und;Alte Elbe mit Tunnel und Königsdamm bei Parey;52.38;11.95;v_gewaesser.fid-36945e2d_19febabadac_6d31;MultiPolygon;AUTO_CANDIDATE
4-171-12;Baggerelbe bei Derben;Baggerelbe bei Derben;52.42;11.99;v_gewaesser.fid-36945e2d_19febabadac_6dea;MultiPolygon;AUTO_CANDIDATE
4-171-14;Stromelbe von km 372,4;Stromelbe von km 372, 4 bis km 378 bei Derben rechtsseitg;52.435;11.995;v_gewaesser.fid-36945e2d_19febabadac_69f1;MultiPolygon;AUTO_CANDIDATE
4-171-15;Pareyer Verbindungskanal;Pareyer Verbindungskanal von km 0, 0, bis km 3, 54;52.4033333;11.9733333;v_gewaesser.fid-36945e2d_19febabadac_69ce;MultiPolygon;AUTO_CANDIDATE
4-171-21;Erdegraben bei Parey;Erdegraben bei Parey;52.4;11.95;v_gewaesser.fid-36945e2d_19febabadac_69f5;MultiPolygon;AUTO_CANDIDATE
4-171-26;Elbe-Havel-Kanal von km 344 bis km 353;Elbe-Havel-Kanal von km 344 bis km 353;52.3666667;11.99;v_gewaesser.fid-36945e2d_19febabadac_69d4;MultiPolygon;LOCKED
4-172-01;Elbe-Havel-Kanal von km 364,5;Elbe-Havel-Kanal von km 364, 5 (Brücke B1 Ortsausgang Genthin bis km 365, 7 (Einmündung Neuer Graben);52.4033333;12.1933333;v_gewaesser.fid-36945e2d_19febabadac_69f6;MultiPolygon;LOCKED
4-172-03;Roßdorfer Altkanal von;Roßdorfer Altkanal von Brücke Dunkelforth (B1) bis zur Einmündung in den EHK;52.41;12.23;v_gewaesser.fid-36945e2d_19febabadac_69f7;MultiPolygon;AUTO_CANDIDATE
4-173-01;Bergzower Altkanal vom Abzweig;Bergzower Altkanal vom Abzweig H-Kanal km 355, 15 Südufer;52.41;12.05;v_gewaesser.fid-36945e2d_19febabadac_69f8;MultiPolygon;AUTO_CANDIDATE
