lavNumber;catalogName;district;atlasName;latitude;longitude;featureId;geometryType;officialMatch
3-470-06;Mittellandkanal Bereich Wolmirstedt;Börde;Mittellandkanal Bereich Wolmirstedt;52.23;11.57;v_gewaesser.fid-36945e2d_19febabadac_69dc;MultiPolygon;YES
3-470-17;Ohre von Vahldorfer Brücke bis;Börde;Ohre von Vahldorfer Brücke bis Ortsgrenze Wolmirstedt;52.26;11.55;v_gewaesser.fid-36945e2d_19febabadac_69dd;MultiPolygon;YES
3-470-26;Ohre von Wolmirstedt bis Elbmündung;Börde;Ohre von Wolmirstedt bis Elbmündung;52.2933333;11.7133333;v_gewaesser.fid-36945e2d_19febabadac_69de;MultiPolygon;YES
3-470-27;Mittellandkanal km 320, 10 – 321, 10;Börde;Mittellandkanal km 320,10 – km 321,10;52.23;11.68;v_gewaesser.fid-36945e2d_19febabadac_69df;MultiPolygon;YES
3-472-05;Ohre Stadgebiet Wolmirstedt;Börde;Ohre Stadgebiet Wolmirstedt;52.25;11.62;v_gewaesser.fid-36945e2d_19febabadac_6a98;MultiPolygon;YES
4-130-01;Alte Elbe Lostau;Jerichower Land;Alte Elbe Lostau;52.2066667;11.7266667;v_gewaesser.fid-36945e2d_19febabadac_6a99;MultiPolygon;YES
4-130-15;Elbe-Havel-Kanal km 326, 67- km 344;Jerichower Land;Elbe-Havel-Kanal km326, 67-km344;52.2833333;11.8446667;v_gewaesser.fid-36945e2d_19febabadac_69e0;MultiPolygon;YES
4-130-18;Elbe km 334-350 beidseitig;Jerichower Land;Elbe km 334-350 beidseitig;52.2690476;11.7380952;v_gewaesser.fid-36945e2d_19febabadac_69e1;MultiPolygon;YES
4-130-24;Niegripper Verbindungskanal;Jerichower Land;Niegripper Verbindungskanal von km 0, 95 - km 1, 60;52.25;11.73;v_gewaesser.fid-36945e2d_19febabadac_69e6;MultiPolygon;YES
4-130-31;Alte Elbe bei Niegripp;Jerichower Land;Alte Elbe bei Niegripp;52.29;11.77;v_gewaesser.fid-36945e2d_19febabadac_6d6a;MultiPolygon;YES
4-130-32;Niegripper Altkanal (Teilfläche);Jerichower Land;Niegripper Altkanal;52.2733333;11.7933333;v_gewaesser.fid-36945e2d_19febabadac_6a14;MultiPolygon;YES
4-130-36;Mittellandkanal km 322,82 - km 324,46 A, Bl, K, Pl, Z 5,31 Nordufer;Jerichower Land;Mittellandkanal km 322,82-km 324,6 nur Nordufer;52.2366667;11.7233333;v_gewaesser.fid-36945e2d_19febabadac_6e46;MultiPolygon;YES
4-170-01;Lehmkuhlengraben bei Parchen;Jerichower Land;Lehmkuhlengraben bei Parchen;52.36;12.06;v_gewaesser.fid-36945e2d_19febabadac_69e7;MultiPolygon;YES
4-170-04;Mühlengraben bei Mützel;Jerichower Land;Mühlengraben bei Mützel;52.39;12.17;v_gewaesser.fid-36945e2d_19febabadac_69e8;MultiPolygon;YES
4-170-08;Altenplatower-Altkanal;Jerichower Land;Altenplatower-Altkanal km 360 - km 361, 5;52.42;12.13;v_gewaesser.fid-36945e2d_19febabadac_69e9;MultiPolygon;YES
4-170-09;Roßdorfer Altkanal km 0, 0 bis;Jerichower Land;Roßdorfer Altkanal km 0, 0 bis Brücke Dunkelforth (B1) am Nordufer;52.42;12.2;v_gewaesser.fid-36945e2d_19febabadac_69ea;MultiPolygon;YES
4-170-12;Torschiffahrtskanal vom Wehr Mützel bis A, B, Bl, H, Pl, Qu 3,00 zur Mündung in den Fiener Haupvorfluter;Jerichower Land;Torschiffahrtskanal vom Wehr Mützel bis zur Mündung in den Fiener Haupvorfluter;52.37;12.18;v_gewaesser.fid-36945e2d_19febabadac_69ec;MultiPolygon;YES
4-170-14;Hauptstremme vom Roßdorfer Altkanal A, B, Bl, H, Pl, S 8,00 bis zur Einmündung des Galmer Grabens;Jerichower Land;Hauptstremme vom Roßdorfer Altkanal bis zur Einmündung des Galmer Grabens;52.48;12.25;v_gewaesser.fid-36945e2d_19febabadac_69ed;MultiPolygon;YES
4-170-15;Schlagenthiner Stremme vom Roßdorfer A, B, Bl, H, Pl, S 7,00 Altkanal bis zur Hauptstremme;Jerichower Land;Schlagenthiner Stremme vom Roßdorfer Altkanal bis zur Hauptstremme;52.45;12.25;v_gewaesser.fid-36945e2d_19febabadac_69ee;MultiPolygon;YES
4-170-16;Elbe-Havel-Kanal von km 360 bis 364, 5 A, B, Bl, H, K, 71,92 (Brücke B1 Ortsausgang Genthin) und;Jerichower Land;Elbe-Havel-Kanal von km 360 bis 364, 5 (Brücke B1 Ortsausgang Genthin) und von km 365, 7 (Einmündung Neuer Graben) bis km 372, 8;52.4;12.21;v_gewaesser.fid-36945e2d_19febabadac_69ef;MultiPolygon;YES
4-171-03;Mühlenlanke-Herrenseegraben bei Parey;Jerichower Land;Mühlenlanke-Herrenseegraben bei Parey;52.37;11.96;v_gewaesser.fid-36945e2d_19febabadac_6c83;MultiPolygon;YES
4-171-05;Alte Elbe mit Tunnel und;Jerichower Land;Alte Elbe mit Tunnel und Königsdamm bei Parey;52.38;11.95;v_gewaesser.fid-36945e2d_19febabadac_6d31;MultiPolygon;YES
4-171-12;Baggerelbe bei Derben;Jerichower Land;Baggerelbe bei Derben;52.42;11.99;v_gewaesser.fid-36945e2d_19febabadac_6dea;MultiPolygon;YES
4-171-14;Stromelbe von km 372,4;Jerichower Land;Stromelbe von km 372, 4 bis km 378 bei Derben rechtsseitg;52.435;11.995;v_gewaesser.fid-36945e2d_19febabadac_69f1;MultiPolygon;YES
4-171-15;Pareyer Verbindungskanal;Jerichower Land;Pareyer Verbindungskanal von km 0, 0, bis km 3, 54;52.4033333;11.9733333;v_gewaesser.fid-36945e2d_19febabadac_69ce;MultiPolygon;YES
4-171-21;Erdegraben bei Parey;Jerichower Land;Erdegraben bei Parey;52.4;11.95;v_gewaesser.fid-36945e2d_19febabadac_69f5;MultiPolygon;YES
4-171-26;Elbe-Havel-Kanal von km 344 bis km 353;Jerichower Land;Elbe-Havel-Kanal von km 344 bis km 353;52.3666667;11.99;v_gewaesser.fid-36945e2d_19febabadac_69d4;MultiPolygon;YES
4-172-01;Elbe-Havel-Kanal von km 364,5;Jerichower Land;Elbe-Havel-Kanal von km 364, 5 (Brücke B1 Ortsausgang Genthin bis km 365, 7 (Einmündung Neuer Graben);52.4033333;12.1933333;v_gewaesser.fid-36945e2d_19febabadac_69f6;MultiPolygon;YES
4-172-03;Roßdorfer Altkanal von;Jerichower Land;Roßdorfer Altkanal von Brücke Dunkelforth (B1) bis zur Einmündung in den EHK;52.41;12.23;v_gewaesser.fid-36945e2d_19febabadac_69f7;MultiPolygon;YES
4-173-01;Bergzower Altkanal vom Abzweig;Jerichower Land;Bergzower Altkanal vom Abzweig H-Kanal km 355, 15 Südufer;52.41;12.05;v_gewaesser.fid-36945e2d_19febabadac_69f8;MultiPolygon;YES
4-173-02;Elbe-Havel-Kanal von km 353 - km 360;Jerichower Land;Elbe-Havel-Kanal von km 353 bis km 360;52.41;12.07;v_gewaesser.fid-36945e2d_19febabadac_6d01;MultiPolygon;YES
5-190-03;Bode vom Einlauf des Goldbaches;Harz;Bode vom Einlauf des Goldbaches bis Straßenbrücke Deesdorf;51.91;11.18;v_gewaesser.fid-36945e2d_19febabadac_69f9;MultiPolygon;YES
5-190-06;Großer Graben vom Zusammenfluss;Harz;Großer Graben vom Zusammenfluss Schiffgraben und Aue bis zur Straßenbrücke zwischen Aderstedt und Gunsleben;52.06;10.89;v_gewaesser.fid-36945e2d_19febabadac_69fa;MultiPolygon;YES
5-340-06;Hauptseegraben von Kreisgrenze;Harz;Hauptseegraben von Kreisgrenze Salzlandkreis bis Mündung in die Selke;51.83;11.28;v_gewaesser.fid-36945e2d_19febabadac_69fe;MultiPolygon;YES
5-340-09;Bode vom Einlauf des Quarmbaches;Harz;Bode vom Einlauf des Quarmbaches bis zur Selkemündung bei Rodersdorf;51.7966667;11.1633333;v_gewaesser.fid-36945e2d_19febabadac_69fd;MultiPolygon;YES
5-340-13;Selke von Kreisgrenze;Harz;Selke von Kreisgrenze Salzlandkreis bis Mündung in Bode;51.85;11.25;v_gewaesser.fid-36945e2d_19febabadac_69ff;MultiPolygon;YES
5-340-20;Mühlgraben Thale 0,25;Harz;;;;;;NO
6-100-07;Hauptseegraben von Einmündung;Salzlandkreis;Hauptseegraben von Einmündung des Grabens aus Wilsleben bis Tagebaurestloch Königsaue;51.7966667;11.4;v_gewaesser.fid-36945e2d_19febabadac_6e47;MultiPolygon;YES
6-110-12;Saalealtarm zwischen Plötzkau;Salzlandkreis;Saalealtarm zwischen Plötzkau und Großwirschleben;51.74;11.7;v_gewaesser.fid-36945e2d_19febabadac_6aea;MultiPolygon;YES
6-110-13;Saalealtarm Aderstedt;Salzlandkreis;Saalealtarm Aderstedt;51.78;11.7;v_gewaesser.fid-36945e2d_19febabadac_6ae7;MultiPolygon;YES
6-110-14;Saale von Kreisgrenze Saalekreis bis;Salzlandkreis;Saale im Altkreis Bernburg;51.725;11.7283333;v_gewaesser.fid-36945e2d_19febabadac_6af0;MultiPolygon;YES
6-110-17;Saalealtarm Gnölbzig;Salzlandkreis;Saalealtarm Gnölbzig;51.6733333;11.7233333;v_gewaesser.fid-36945e2d_19febabadac_6aed;MultiPolygon;YES
6-110-18;Fuhne vom Viadukt bei Kleinwirschleben A, B, Bl, H, K, Pl, Ro 4,00 bis Mündung in die Saale;Salzlandkreis;Fuhne vom Viadukt bei Kleinwirschleben bis Mündung in die Saale;51.7766667;11.7766667;v_gewaesser.fid-36945e2d_19febabadac_6a00;MultiPolygon;YES
6-111-04;Bode vom Beginn des Mühlgrabens;Salzlandkreis;Bode;51.83;11.73;v_gewaesser.fid-36945e2d_19febabadac_6d7a;MultiPolygon;YES
6-111-05;Saalealtarm Nienburg;Salzlandkreis;Saalealtarm Nienburg;51.84;11.79;v_gewaesser.fid-36945e2d_19febabadac_6afa;MultiPolygon;YES
6-111-13;Saale von Einmündung der Fuhne bis;Salzlandkreis;Saale von Fuhnemündung bis Ortslage Wispitz;51.865;11.765;v_gewaesser.fid-36945e2d_19febabadac_69f0;MultiPolygon;YES
6-112-03;Saalealtarm Lesewitz bei Plötzkau;Salzlandkreis;Saalealtarm Lesewitz bei Plötzkau;51.75;11.7;v_gewaesser.fid-36945e2d_19febabadac_6afb;MultiPolygon;YES
6-400-20;Saale im Altkreis Schönebeck;Salzlandkreis;Saale im Altkreis Schönebeck;51.9088889;11.8244444;v_gewaesser.fid-36945e2d_19febabadac_6a02;MultiPolygon;YES
6-400-22;Elbe von km 305 - km 320 beidseitig;Salzlandkreis;Elbe von km 305-320 beidseitig;52.0316667;11.735;v_gewaesser.fid-36945e2d_19febabadac_6a03;MultiPolygon;YES
6-400-24;Saalealtarm Tippelskirchen;Salzlandkreis;Saalealtarm Tippelskirchen von km 22,2 - 23,3;51.89;11.78;v_gewaesser.fid-36945e2d_19febabadac_6b0d;MultiPolygon;YES
6-400-30;Küchenpfuhl Elbenau;Salzlandkreis;Küchenpfuhl Elbenau;52.04;11.76;v_gewaesser.fid-36945e2d_19febabadac_6c9f;MultiPolygon;YES
6-400-33;Stilles Wasser Elbenau;Salzlandkreis;Stilles Wasser Elbenau;52.05;11.75;v_gewaesser.fid-36945e2d_19febabadac_6c9e;MultiPolygon;YES
6-400-35;Elbealtarm Grünewalde;Salzlandkreis;Elbealtarm Grünewalde;52.03;11.73;v_gewaesser.fid-36945e2d_19febabadac_6b14;MultiPolygon;YES
6-400-41;Salinekanal Schönebeck;Salzlandkreis;Salinekanal Schönebeck;52.02;11.75;v_gewaesser.fid-36945e2d_19febabadac_6a01;MultiPolygon;YES
6-400-45;Götzenthiegraben;Salzlandkreis;Götzenthiegraben;52.0;11.73;v_gewaesser.fid-36945e2d_19febabadac_6ce5;MultiPolygon;YES
