lavNumber;catalogName;district;atlasName;latitude;longitude;featureId;geometryType;officialMatch
8-252-01;Alte Elbe in Iserbegka bei Elster;Wittenberg;Alte Elbe in Iserbegka bei Elster;51.84;12.79;v_gewaesser.fid-36945e2d_19febabadac_6b84;MultiPolygon;YES
8-460-02;Brauteich, Schloßgraben und;Wittenberg;Brauteich, Schloßgraben und Dorfteich in Kropstädt;51.96;12.74;v_gewaesser.fid-36945e2d_19febabadac_6d60;MultiPolygon;YES
8-460-22;1. Brücke, Graben zum großen Loch;Wittenberg;1. Brücke, Graben zum großen Loch;51.85;12.64;v_gewaesser.fid-36945e2d_19febabadac_6caa;MultiPolygon;YES
8-460-25;Streng (Alte Elbe Bleesern) bei Seegrehna;Wittenberg;Streng (Alte Elbe Bleesern) bei Seegrehna;51.85;12.55;v_gewaesser.fid-36945e2d_19febabadac_6cfb;MultiPolygon;YES
8-460-38;Fließgraben vom Wachsdorfer;Wittenberg;Fließgraben vom Wachsdorfer Wehr bis Kreisgrenze;51.82;12.58;v_gewaesser.fid-36945e2d_19febabadac_6a16;MultiPolygon;YES
8-460-41;Tiefe Lache mit Graben und Loch;Wittenberg;Tiefe Lache mit Graben und Loch bei Seegrehna;51.86;12.53;v_gewaesser.fid-36945e2d_19febabadac_6ba3;MultiPolygon;YES
8-460-42;Krummer See (Bodemar) bei Seegrehna;Wittenberg;Krummer See (Bodemar) bei Seegrehna;51.85;12.55;v_gewaesser.fid-36945e2d_19febabadac_6ba4;MultiPolygon;YES
8-460-53;Alte Elbe Merschwitz;Wittenberg;Alte Elbe Merschwitz;51.73;12.79;v_gewaesser.fid-36945e2d_19febabadac_6bae;MultiPolygon;YES
8-460-56;Booser Graben vom Booser Riß zur Elbe;Wittenberg;;;;;;NO
9-150-15;Mittelgraben v. Stollengraben bis;Mansfeld-Südharz;Mittelgraben v. Stollengraben bis Schöpfwerk Wansleben;51.4766667;11.7333333;v_gewaesser.fid-36945e2d_19febabadac_6a17;MultiPolygon;YES
9-150-17;Südlicher Ringkanal von;Mansfeld-Südharz;Südlicher Ringkanal von Einleitstelle Romonta zwischen Unterröblingen und Amsdorf bis zur Salza;51.48;11.74;v_gewaesser.fid-36945e2d_19febabadac_6ddf;MultiPolygon;YES
9-390-04;Toter Arm „Eichgraben“ bei Wallhausen;Mansfeld-Südharz;Toter Arm „Eichgraben“ bei Wallhausen;51.45;11.21;v_gewaesser.fid-36945e2d_19febabadac_6cf3;MultiPolygon;YES
9-390-17;Mühlgraben vom Wehr Hornissenberg;Mansfeld-Südharz;Mühlgraben vom Wehr Hornissenberg bis Einmündung in die Helme;51.46;11.07;v_gewaesser.fid-36945e2d_19febabadac_6a18;MultiPolygon;YES
10-210-09;Mühlgraben von Saalealtarm Hohen-;Saalekreis;Mühlgraben;51.43;11.92;v_gewaesser.fid-36945e2d_19febabadac_6de6;MultiPolygon;YES
10-290-13;Saale-Leipzig-Kanal;Saalekreis;Saale-Leipzig-Kanal Km 7,55-7,71/8,53-10,48/10,83-10,95/11,08-11,21;51.35;12.16;v_gewaesser.fid-36945e2d_19febabadac_69ac;MultiPolygon;YES
10-290-14;Saale im Altkreis Merseburg;Saalekreis;Saale im Altkreis Merseburg (Oberwasser Wehr Bad Dürrenberg bis Straßenbrücke B91);51.3616667;12.0125;v_gewaesser.fid-36945e2d_19febabadac_69a9;MultiPolygon;YES
10-290-16;Kanal Wüsteneutsch km 1, 32 - 1, 62;Saalekreis;Kanal Wüsteneutsch km 1,32 - 1,62;51.33;12.07;v_gewaesser.fid-36945e2d_19febabadac_69a6;MultiPolygon;YES
10-290-25;Umgehungskanal Merseburg;Saalekreis;Umgehungskanal Merseburg;51.36;12.01;v_gewaesser.fid-36945e2d_19febabadac_6e27;MultiPolygon;YES
10-290-26;Saalealtarm Leuna;Saalekreis;Saalealtarm Leuna;51.33;12.03;v_gewaesser.fid-36945e2d_19febabadac_6e03;MultiPolygon;YES
10-370-17;Saale vom Trompeterfelsen;Saalekreis;Saale vom Trompeterfelsen zwischen Halle und Brachwitz bis zur Kreisgrenze Salzlandkreis;51.567619;11.8309524;v_gewaesser.fid-36945e2d_19febabadac_69b3;MultiPolygon;YES
